MSW05_Binomial,missing,IUCN_binomial
Brachiones przewalskii,no,Brachiones przewalskii
Cannomys badius,no,Cannomys badius
Cansumys canus,no,Cansumys canus
Callistomys pictus,no,Callistomys pictus
Callosciurus adamsi,no,Callosciurus adamsi
Callosciurus albescens,no,Callosciurus albescens
Callosciurus baluensis,no,Callosciurus baluensis
Callosciurus caniceps,no,Callosciurus caniceps
Callosciurus erythraeus,no,Callosciurus erythraeus
Callosciurus finlaysonii,no,Callosciurus finlaysonii
Callosciurus inornatus,no,Callosciurus inornatus
Callosciurus melanogaster,no,Callosciurus melanogaster
Callosciurus nigrovittatus,no,Callosciurus nigrovittatus
Callosciurus notatus,no,Callosciurus notatus
Callosciurus orestes,no,Callosciurus orestes
Callosciurus phayrei,no,Callosciurus phayrei
Callosciurus prevostii,no,Callosciurus prevostii
Callosciurus pygerythrus,no,Callosciurus pygerythrus
Callosciurus quinquestriatus,no,Callosciurus quinquestriatus
Calomys boliviae,no,Calomys boliviae
Calomys callidus,no,Calomys callidus
Calomys callosus,no,Calomys callosus
Calomys expulsus,no,Calomys expulsus
Calomys hummelincki,no,Calomys hummelincki
Calomys laucha,no,Calomys laucha
Calomys lepidus,no,Calomys lepidus
Calomys musculinus,no,Calomys musculinus
Calomys sorellus,no,Calomys sorellus
Calomys tener,no,Calomys tener
Calomys tocantinsi,no,Calomys tocantinsi
Calomys venustus,no,Calomys venustus
Calomyscus bailwardi,no,Calomyscus bailwardi
Calomyscus baluchi,no,Calomyscus baluchi
Calomyscus elburzensis,no,Calomyscus elburzensis
Calomyscus grandis,no,Calomyscus grandis
Calomyscus hotsoni,no,Calomyscus hotsoni
Calomyscus mystax,no,Calomyscus mystax
Calomyscus tsolovi,no,Calomyscus tsolovi
Calomyscus urartensis,no,Calomyscus urartensis
Atherurus africanus,no,Atherurus africanus
Atherurus macrourus,no,Atherurus macrourus
Atlantoxerus getulus,no,Atlantoxerus getulus
Auliscomys boliviensis,no,Auliscomys boliviensis
Auliscomys pictus,no,Auliscomys pictus
Auliscomys sublimis,no,Auliscomys sublimis
Bandicota bengalensis,no,Bandicota bengalensis
Bandicota indica,no,Bandicota indica
Chaetocauda sichuanensis,no,Chaetocauda sichuanensis
Chaetodipus arenarius,no,Chaetodipus arenarius
Chaetodipus artus,no,Chaetodipus artus
Chaetodipus baileyi,no,Chaetodipus baileyi
Chaetodipus californicus,no,Chaetodipus californicus
Chaetodipus eremicus,no,Chaetodipus eremicus
Chaetodipus fallax,no,Chaetodipus fallax
Chaetodipus formosus,no,Chaetodipus formosus
Chaetodipus goldmani,no,Chaetodipus goldmani
Chaetodipus hispidus,no,Chaetodipus hispidus
Chaetodipus intermedius,no,Chaetodipus intermedius
Chaetodipus lineatus,no,Chaetodipus lineatus
Chaetodipus nelsoni,no,Chaetodipus nelsoni
Chaetodipus penicillatus,no,Chaetodipus penicillatus
Chaetodipus pernix,no,Chaetodipus pernix
Chaetodipus rudinoris,no,Chaetodipus rudinoris
Chaetodipus spinatus,no,Chaetodipus spinatus
Cricetulus barabensis,no,Cricetulus barabensis
Cricetulus kamensis,no,Cricetulus kamensis
Cricetulus longicaudatus,no,Cricetulus longicaudatus
Cricetulus migratorius,no,Cricetulus migratorius
Cricetulus sokolovi,no,Cricetulus sokolovi
Cricetus cricetus,no,Cricetus cricetus
Eremodipus lichtensteini,no,Eremodipus lichtensteini
Erethizon dorsatum,no,Erethizon dorsatum
Eropeplus canus,no,Eropeplus canus
Delomys collinus,no,Delomys collinus
Delomys dorsalis,no,Delomys dorsalis
Delomys sublineatus,no,Delomys sublineatus
Deltamys kempi,no,Deltamys kempi
Bibimys torresi,no,Bibimys torresi
Biswamoyopterus biswasi,no,Biswamoyopterus biswasi
Blanfordimys afghanus,no,Blanfordimys afghanus
Blanfordimys bucharensis,no,Blanfordimys bucharensis
Baiomys musculus,no,Baiomys musculus
Baiomys taylori,no,Baiomys taylori
Blarinomys breviceps,no,Blarinomys breviceps
Brachytarsomys albicauda,no,Brachytarsomys albicauda
Brachytarsomys villosa,no,Brachytarsomys villosa
Brachyuromys betsileoensis,no,Brachyuromys betsileoensis
Brachyuromys ramirohitra,no,Brachyuromys ramirohitra
Chaetomys subspinosus,no,Chaetomys subspinosus
Dendromus insignis,no,Dendromus insignis
Dendromus kahuziensis,no,Dendromus kahuziensis
Dendromus lovati,no,Dendromus lovati
Dendromus melanotis,no,Dendromus melanotis
Dendromus mesomelas,no,Dendromus mesomelas
Dendromus messorius,no,Dendromus messorius
Dendromus mystacalis,no,Dendromus mystacalis
Dendromus nyikae,no,Dendromus nyikae
Dendromus oreas,no,Dendromus oreas
Dendromus vernayi,no,Dendromus vernayi
Dendroprionomys rousseloti,no,Dendroprionomys rousseloti
Deomys ferrugineus,no,Deomys ferrugineus
Dephomys defua,no,Dephomys defua
Desmodilliscus braueri,no,Desmodilliscus braueri
Desmodillus auricularis,no,Desmodillus auricularis
Desmomys harringtoni,no,Desmomys harringtoni
Desmomys yaldeni,no,Desmomys yaldeni
Dicrostonyx groenlandicus,no,Dicrostonyx groenlandicus
Dicrostonyx hudsonius,no,Dicrostonyx hudsonius
Dicrostonyx nelsoni,no,Dicrostonyx nelsoni
Dicrostonyx nunatakensis,no,Dicrostonyx nunatakensis
Dicrostonyx richardsoni,no,Dicrostonyx richardsoni
Dicrostonyx torquatus,no,Dicrostonyx torquatus
Dicrostonyx unalascensis,no,Dicrostonyx unalascensis
Dicrostonyx vinogradovi,no,Dicrostonyx vinogradovi
Dinaromys bogdanovi,no,Dinaromys bogdanovi
Dinomys branickii,no,Dinomys branickii
Diomys crumpi,no,Diomys crumpi
Diplomys caniceps,no,Diplomys caniceps
Diplomys labilis,no,Diplomys labilis
Diplothrix legata,no,Diplothrix legata
Eligmodontia moreni,no,Eligmodontia moreni
Eligmodontia morgani,no,Eligmodontia morgani
Eligmodontia puerulus,no,Eligmodontia puerulus
Eligmodontia typus,no,Eligmodontia typus
Eliomys melanurus,no,Eliomys melanurus
Eliomys munbyanus,no,Eliomys munbyanus
Eliomys quercinus,no,Eliomys quercinus
Eliurus antsingy,no,Eliurus antsingy
Eliurus ellermani,no,Eliurus ellermani
Eliurus grandidieri,no,Eliurus grandidieri
Eliurus majori,no,Eliurus majori
Eliurus minor,no,Eliurus minor
Eliurus myoxinus,no,Eliurus myoxinus
Eliurus penicillatus,no,Eliurus penicillatus
Eliurus petteri,no,Eliurus petteri
Eliurus tanala,no,Eliurus tanala
Eliurus webbi,no,Eliurus webbi
Ellobius alaicus,no,Ellobius alaicus
Ellobius fuscocapillus,no,Ellobius fuscocapillus
Ellobius lutescens,no,Ellobius lutescens
Ellobius talpinus,no,Ellobius talpinus
Ellobius tancrei,no,Ellobius tancrei
Heterocephalus glaber,no,Heterocephalus glaber
Heteromys anomalus,no,Heteromys anomalus
Heteromys australis,no,Heteromys australis
Heteromys desmarestianus,no,Heteromys desmarestianus
Lagostomus maximus,no,Lagostomus maximus
Lagurus lagurus,no,Lagurus lagurus
Lamottemys okuensis,no,Lamottemys okuensis
Galea flavidens,no,Galea flavidens
Galea musteloides,no,Galea musteloides
Galea spixii,no,Galea spixii
Galenomys garleppi,no,Galenomys garleppi
Gerbillus gerbillus,no,Gerbillus gerbillus
Gerbillus gleadowi,no,Gerbillus gleadowi
Gerbillus grobbeni,no,Gerbillus grobbeni
Bandicota savilei,no,Bandicota savilei
Bathyergus janetta,no,Bathyergus janetta
Bathyergus suillus,no,Bathyergus suillus
